PageNo,Text
11,"['359109', '11', 'När de polymera materialen behandlas med vattenlösningar', 'av de antistatmaterial som här beskrivas utgör antistatmedlet ett', 'sádant som har en hög grad av hydrolytisk beständighet. De burliknande', 'bor-kväveföreningar som användas i föreliggande uppfinning ha varieran-', 'de hydrolytisk beständighet men det har visat sig att i allmänhet', 'uppvisa de föreningar som innehalla minst en 6-atomig ring de:bästa', 'hydrolysbeständighetsegenskaperna', 'sásom visas mera fullständigt', '1 de följande exemplen.', 'Vattenlösningar av antistatmedlen enligt föreliggande', 'uppfinning som äro lämpliga för behandling av textilmaterial kunna', 'framställas genom att man löser valda föreningar enligt föreliggande', 'uppfinning 1 vatten vid rumstemperatur under kraftig omrörning.', 'Koncentrationen av antistatmeden i sádana vattenbehandlingsbad kan', 'variera avsevärt och sã lâga koncentrationer som ungefär 0,05 vikt-', 'procent och sã höga koncentrationer som ungefär 6 viktprocent kunna', 'användas med tillfredsställande resultat. I allmänhet föredragas en', 'koncentration av ungefär 0,1-2,0 viktprocent. Vilken som helst', 'koncentration av de nämnda koncentrationerna kommer att vara lämplig', 'för att tillhandahâlla ungefär 0,0025-0,30 st-substansupptagning,', 'räknat pã vikten av det torra textilmaterial som behandlas.', 'När antistatmedlen enligt uppfinningen skola införlivas', 'i hartsliknande folier, filmer eller formade produkter komma de', 'i', 'allmänhet att införlivas 1 sádana produkter i en mängd av ungefär', '0,05-10 viktprocent, lämpligen i en mängd av ungefär 1-4 viktprocent.', 'Under det att tillsatsmedlen enligt uppfinningen särskilt', 'ha beskrivits sãsom burliknande bor-kväveföreningar kunna 1 vissa fall', 'burliknande aluminium-kväveföreningar även användas enligt uppfinningen', 'och som ersättning för de burliknande bor-kväveföreningarna., Exempel', 'pá sãdana aaluminium-kväveföreningar är 3,7,10-trimetyl-2,8.9-trioxa-', '-5-aza-l-aluminiumtricyklo[3.3.3.0}-undekan.', 'Uppfinningen äskädliggöres närmare medelst följande exempel', '1 vilka delar och procentuppgifter äro uttryckta i vikt räknat pá', 'vikten avhartset.', 'Följande provningar användas för att visa de antistatiska', 'egenskaperna hos olika polymermaterial bâde 1 folie- och fiberform', 'efter det att de ha behandlats med de burliknande bor-kväve-föreningar-', 'na enligt uppfinningen. Den antistatiska provningen genomföres pá', 'tvã sätt - genom askprovning och genom en statisk elektricitets-', '-provning som genomföres med användning av en Rothschild Static Tester-', '-anordning.', 'Vi askprovningen jordas 0,5 mm ark av polyvinylkloridfilm-']"
12,"['12', 'kompositioner som innehálla varierande mängder av de burliknande', 'bor-kvävehaltiga antistatmedlen enligt uppfinningen tillsammans med', 'ett ylletyg pá en kallvattensledning. Ylletyget gnides därefter över', 'provarket 1 20 fram- och âtergáende cykler med användning av moderat', 'handtryck. Det resulterande polyvinylkloridarket placeras över ett', '12 cm urglas, som är delvis fyllt med cigarettaska och den mängd aska', 'som upptages av vinylarket jämföres med ett jämförelseark 1 vilket', 'nágot antistatmedel icke användes. Uttrycken ""stor"",', '""moderat"",', '""obetydlig"" och ""mycket obetydlig"" äro jämförelser med ett jämförelse-', 'prov som klassades som : stor.. Proven', 'variera med relativ', 'fuktighet, varvid de ha benägenhet att uppvisa större askupptagning', 'vid torra dagar. Resultaten av dessa provningar som visa den', 'relativa effektiviteten för de olika provade, burliknande bor-kväve-', 'antistatmedlen redovisas i tabell I.', 'Vid användning av Rothschild Static Tester-anordningen', 'skäras 0,5 mm polyvinylkloridark som innehâlla olika föreningar', 'av de burliknande bor-kväveföreningarna enligt uppfinningen till', '""hantlar"" och dessa hantlar áldras under minst 24 timmar vid en relativ', 'fuktighet av 35 % vid 22°C. ""Han tlarna"" placeras däreften mellan', 'elektroderna i Tester-anordningen och en 100 volts spänning anbringas', 'tvärs över ""hantlarna. Den tid som erfordras för att provet skall', 'avleda hälften av laddningen registreras för att visa effektiviteten', 'för de olika provade antistatmedlen. Om halva laddningen icke forswnnit', 'pá 15 minuter uttryckes resultatet sásom den procent laddning som', 'finnes kvar efter 15 minuter. Resultaten av dessa provningar redovisas', 'även i tabell I.', 'Exempel 1-58. De polyvinylkloridfilmer som provades 1 dessa exempel', 'innehöll alla- dioktylftalat i en mängd som är tillräcklig för att', 'göra den sammanlagda mängd dioktylftalat och burliknande bor-kväve-', 'förening som fanns närvarande 1 varje prov till 50 % av polyvinyl-', 'kloriden. Varje prov innehöll även 1 viktprocent av en komposition', 'som saluföres under varubenämningen Ferro 903, som utgör en aromatisk', 'fosfit kelator löst i ett högkokande, inert lösningsmedel innehällande', '3,50 viktprocent fosfor och 2 viktprocent av ett barium-kadmiumkokonat', 'eller -lauratstabiliseringsmedel, som saluföres under varubenämingen', '""Ferro 1820. Andra konventionella polyvinylkloridstabiliseringssyster', 'kunna användas i stället för Ferro 903 och Ferro 1820-stabiliserings-', 'medlen och olika andra konventionella mjukningsmedel för polyvinyl-', 'klorid kan användas i stället för dioktylftalat.']"
13,"['13', 'Arken framställes genom malning av polyvinylkloriden,', 'diaktylftalat, stabiliseringsmedlen och den burliknande föreningen', 'pá ett tvavalsverk, som hölls vid en temperatur av 163°C. Blandningen', 'arbetas för hand under 5 minuter efter att en kontinuerlig film', 'bildats och 0,5 mm ark pressas därefter vid 174°C av 25 g male ark.', 'Den presscykel som användes är 35 kp/cm² under 2 minuter och 105', 'kp/cm² under 4 minuter, varefter följer kylning och avlägsnande av', 'det pressade arket.', 'De boratestertillsatsmedel som ersätta de burliknande', 'bor-kväveföreningarna enligt uppfinningen i exempel 52-58 ha liknande', 'hydrolysbeständighet som de flesta burliknande föreningar men ha icke', 'den burliknande strukturen. De resultat som uppnãs med användning av', 'dessa boratestrar är konsekvent otillfredsställande, vilket utvisar', 'att den förbättring som uppnas medels föreliggande uppfinning kan', 'tillskrivas den burliknande bor-kvävestrukturen hos de tillsatsmedel', 'som här användas och icke boratestrarna som sádana.']"
14,"['Rothschiid-provning', 'Mängd, vikt-', 'Askprov-', 'halveringstid', 'procent av', 'ning, mängd', 'för laddningen,', 'Ex. nr.', 'Antistatmedel', 'polymeren', 'aska', 'min.', '1', '2,8, 9-trioxa-5-aza-1-boratricyklo-', '[3.3.3.03-undekan', '3', 'Ingen', '3.9; 1.7; 7,2; >15', '2', '3,7,10-trimetyl-2,8.9-trioxa-5-aza-1-', 'boratricyklo[3.3.3.0]-undekan', '1', 'Stor', '10,9; 11,2; 10,8', '""', '3', '1', 'Obetydlig', '8,3; 9,9; 5,4', '4', '""', '2', 'Obetydlig', '3,7; 4,1; 3,5', '""', '5', '3', 'Mycket obe-', '1,9; 1,7; 2,1', 'tvdli', '6', '""', '3', 'Moderat', '3,0; 3,3; 2,4; 2,6', '""', '7', '5', 'Ingen', '1,6; 1,6; 1,6', '8', '""', '10', 'Ingen', '1,8; 1,7; 1,9; 2,0', '9', '3,7-dimetyl-10-etyl-2,8.9-trioxa-5-aza-', '1-boratricyklo[3.3.3.0]-undekan', '1', 'Moderat', '4,9; 4,8; 5,5', '14', '""', '10', '2', 'Obetydlig', '3,2; 3,4; 2,8', '""', '11', '3', 'Stor', '8,1; 8,6; 5,6', '12', ',,7-dimetyl-10-ètyl-2,8,9-trioxa-', 'Mycket', '2,7; 2,7; 3,0; 2,3', '-aza-1-boratricyklo[3.3.3.0]-undeka', '3', 'obetydlige-', '""', '13', '5', 'Ingen', '1.2; 1,0; 1,2', '""', '14', '10', 'Ingen', '0,6; 0,4; 0,8; 0,9', '""', '15', '3', 'Ingen', '0,9; 0,7; 1,11 1,0', '16', '""', '10', 'Ingen', '17', '3-metyl-7,10-dietyl-2,8,9-trioxa-5-', '-boratricyklo[3.3.3.0]-undekan', '3', 'Moderat', '3,1; 3,6; 3,7; 2,9', '18', '""', '10', 'Obetydlig', '3,8; 3,7; 4,3; 4,7', '19', '3, .-dimetyl-10-fenyl-2,8,9-trioxa-5-aza-', 'boratricyklo[3.3.3.0]-undekan', '10', 'Ingen', '5,7; 6,2; 6,3; 5.3', '20', '3-metyl-7,10-difenyl-2,8.9-trioxa-5-aza', '-1-boratricyklo[3.3.3.0]-undekan', '10', 'Ingen', '>15; >15; >15; >15']"
15,"['Rothschield-prov-', 'Mängd, vikt-', 'Askprov-', 'ning, halverings-', 'Ex.', 'procent av', 'ning, mängd', 'tid för laddningen,', 'nr.', 'Antistatmedel', 'polymeren', 'aska', 'min.', '21', '11,14-dimetyl-2,12,13-triexa-9-aza-l-', '-3,5,7-trien', '10', 'Moderat', '13,5', '22', '3-hydroximetyl-7,10-dimetyl-2,8,9-trioxa-', '-5-aza-l-boratricyklo[3.3.3.0]-undekanstearat', '10', '---', '3,4; 2,6;4,0', '23', '3-hydroximetyl-7,10-dimetyl-2,8,9-trioxa-', '-5-aza-l-boratricyklo[3.3.3.0]-undekanoleat', '10', '---', '2,6; 2,0; 2,7', '24', '3-hydroximetyl-7,10-dimetyl-2,8,9-trioxa-', '-5-aza-l-boratricyklo[3.3.3.0]-undekanversatat', '1', 'Moderat', '0,4; 0,4; 1,5', '""', '25', '3', 'Stor', '1,9; 1,1; >15', '26', '""', '5', 'Stor', '12,0; 8,9 13,5', '""', '27', '10', 'Ingen', '4,3; 4,3; 4,1;', '4,9; 5,2', '15', '28', '3,7-dihydroximetyl-10-metyl-2,8,9-trioxa-', '-5-aza-l-boratricyklo[3.3.3.0]-undekan', '3', 'Moderat', '15;188,4; >15; >15', '29', '3,7-difenoximetyl-10-metyl-2,8,9-trioxa', '-5-aza-l-boratricyklo[3.3.3.0]-undekan', '10', 'Moderat', '>15; >15; >10,8', '30', '3,7-dihydroximetyl-10-metyl-2,8.9-trioxa-', '>15; 14,1; >15;', 'A', '5-aza-l-boratricyklol3.3.3.0]-undekandiversa', '10', 'Ingen', '13,4; >15', '31', '4, 4,7,10-tetrametyl-2,8,9-trioxa-5-aza-', '-boratricyklo[3.3.3.0]-undekan', '3', 'Ingen', '2,7; 2,0; 2,9; 3,0', '32', '10', 'Ingen', '2,1; 2,6; 1,8; 2,0', '33', '8,11-dimetyl-2,9,10-trioxa-6-aza-', '-boratricyklo[4.3.3.0)-dodekan', '3', 'Moderat', '2,7; 2,6; 3,0; 3.1', '34', '12-metyl-2,10-11-trioxa-6-aza-1-boratricyklo-', '.4.3.0)-tridekan', '3', 'Stor', '2,7; 0,4; 1,2;10,5', '35', '10,11-trioxa-6-aza-1-boratricyklo[4.4.4.0]- -', '-tetradekan', '3', 'Moderat', '>15; >15;>15; >15', '36', '3-metyl-2,8,9-trioxa-5-aza-l-boratricyklo-', '[3.3.3.0]-undekan', '3', 'Ingen', '11,1;12,6; 6,3;)15']"
16,"['37', '3, 7-dimetyl-2,8,9-trioxa-5-aza-1-boratricyklo-', '[3.3:3.0)-undekan', '3', 'Moderat', '7,7; 1,7; 6,8; 11,4', '38', '--hydroximetyl-7,10-dimetyl-2,8,9-trioxa', 'laza-1-boratricyklo[3.3.3.0]-undekan E-1210 atB', '3', 'Obetydlig 6,5; 5.9; 5,7; 7.3', '39', '""', '10', 'Ingen', '1,5; 1,5; 0,9; 1,0', '40', '3,7,10-trihydroximetyl-2,8,9-trioxa-5-aza-1-', 'oratricyklo[3.3.3.0]-undekan', '3', 'Stor', '12,5; >15; >15; 6,2', '41', '3,7-dimetyl-10-dodecyl-2,8,9-trioxa-5-aza-', '-1-boratricyklo[3.3.3.0]-undekan', '3', 'Moderat', '13,5', '42', '3-allyloximetyl-7,10-dimetyl-2,8,9-trioxa-5-aza', '-', '-l-boratricyklo[3.3.3.0]-undekan', '3', 'Obetydlig 2,6', '43', '3-vinyl-7,10-dimetyl-2,8,9-trioxa-5-aza-1-boratri-', 'Obetydlig- 3,4', 'kklo[3.3.3.0]-undekan', '3', '-moderat', '44', '3-hydroximetyl-2,8.9-trioxa-5-aza-1-boratricyklo-', '[3.3.3.0]-undekanstearat', '3', 'Ingen', '0,8', '45', '11,14-dimety)-2,12,13-trioxa-9-aza-1-boratetracyklo', 'Obetydlig-', '16', '[7.3.3.0.03,81-pentadekan', '3', 'émoderat; 2,4', '46', '3,7-dimetyl-10-hexadecyl-2,8,9-trioxa-5-aza-1-', 'boratricyklo[3.3.3.0]-undekan', '3', 'Moderat 5,0', '47', '2,9,10-trioxa-6-aza-l-boratricyklo[4,3.3.0]-', '-dodekan', '3', 'Obetydlig 4,4', '48', '8,11-dihydroximetyl-2,9,10-trioxa-6-aza-1-boratri', 'cyklo[4.3.3.0]-dodekan', '3', 'Stor', '10,9', '49', '3-fenoximetyl-7,10-dimetyl-2,8,9-trioxa-5-aza-', '-l-boratricyklo[3.3.3.0]-undekan', '10', 'Stor', '0,7; >15; >15; >15', '50', 'Inget', 'Moderat', '12,9; 5,8; 7,0; >15', '51', 'Inget', 'Stor', '>15; 15,3; 15,2; 2,6', '52', 'tri-2-cyklohexyl-cyklohexanylborat', '5', 'Stor', '7,1; 5,4; 8,9', '53', '""', '10', 'Stor', '>15; >15; >15', '54', '2,4-dimetyl-3-pentanylborat', '5', 'Stor', '8,9; 7.9; >15', '55', '10', 'Stor', '- >15; >15; 14,4']"
17,"['.', '56', '2,6-dimetyl-4-heptanylborat', '5', 'Stor', '8,5; 6,7; 13,8', '57', '""', '10', 'Stor', '14,5; 5,2; 14,6', '58', 'ri-ortometylfenylborat', '5', 'Stor', '>15; >15; >15', 'o R,', '"" il', 'A:', ""Versatinsyra är en blandning av neosyror med formeln HO-C-C-R2 vari R1, R2' R3 beteckna"", 'alkylgrupper med 7-9 kolatomer.', 'R2', 'B:', 'E-1210-syror utgöra en i handeln förekommande blandning av rakkedjiga, alifatiska karbonsyror', 'med 4-9 kolatomer.', 'Exempel 59-66. Inverkan av de burliknande bor-kväveföreningarna enligt föreliggande uppfinning', '17', 'pá brännbarheten för mjukade polymerark impregnerade med bor-kväveföreningarna enligt uppfinningen', 'undersöks i dessa exempel. Vid utförande av dessa brännbarhetsprovningar skäras 0,5 mm polyvinylklorid-', 'ark som innehâlla de burliknande kväve-borföreningarna till prov med mätten 5,1 x 20,3 cm och varje prov', 'placeras pã ett 6,35 mm stälgallernät och anordnas 38,1 mm ovanför en vingformad bunsenbrännare', 'med 9,5 mm hál. Lagan regleras till ungefär 12,7 cm ovanför toppen av brännaren och till en', 'diameter av 38,1 mm och placeras vinkelrätt mot längdaxeln för varje provark i centrum av', 'provet.', 'Lagan kvarhölls under provet i 30 sekunder och den tid som erfordras för lágan att slockna', 'registreras därefter. Resultaten frän dessa brännbarhetsprovningar, som redovisas 1 tabell II, visa att', 'vissa av de burliknande bor-kvävederivaten enligt uppfinningen uppvisa de karakteristiska egenskaperna', 'för oantändbara plasttillsatsmedel.']"
18,"['rännbarhetsprovningar', 'Exempel nr.', '59', '60', '61', '62', '63', '64', '65', '66', 'Tillsatsmedel Inget', 'Inget', 'Trikre-', '3,7,10-tri-', '3, .7-dimetyl', '3-metyl-7,10', '11,14-dime-', '3-hydroximetyl', 'sylios-', '-metyl-2,8,', '-10-fenyl-', '-difeny1-03', 'ty1-2,12,13-', '7,10-dimetyl-', 'fast', '9-trioxa-5-', '-2,8,9-tri-', '-2,8,9-trioxal', '-trioxa-9-', '-2,8,9-trioxa-', '-aza-1-bora-', 'oxa-5-aza-1-', '-5-aza-l-bora', '-aza-1-bora-', '-5-aza-1-bora-', 'tricyklo-', '-boratri-', 'tricyklo-', 'tetraeyklozg', 'tricyklo-', '[3.3.3.01-', 'cyklo-', '[3.3.3.0]-un-', '[7.3.3.0.0', '[3.3.3.0]-', '-undekan', '[3.3.3.0]-', 'dekan', '-pentadeka-', '-undekanpalmits', '-undekan', '3,5,7-trien', 'Film-samman-', 'sättning', 'Polyvinyl-', 'klorid', '(Geon®100)', '100', '100', '100', '100', '100', '100', '100', '100', 'Dioktylftalat', '40', '50', '40', '40', '40', '40', '40', '40', 'Ba/Cd-laurat-', 'stabilisator', '2', '2', '2', '2', '2', '2', '2', '2', 'Ferro 903-', '-stabilisator', '1', '1', '1', '1', '1', '1', '1', '1', 'Icke-brännbart', 'tillsatsmedel', '--', '10', '10', '10', '10', '10', '10', 'Tid till lágan', 'slocknade', 'Nr. 1', '27 sek.', 'Fullstär-20', 'sek.', 'Fulls', 'tändigtx)', '16 sek.', '7 sek.', 'Fullständigt* Fullständigt', 'digtx)', 'Nr. 2', '45 sek.', 'Fullstän-', '21 sek. 29 sek.', '16 sek.', '8 sek.', '36 sek.', 'Fullständigt*', 'digtX)', 'Nr. 3', 'Fullstän-', 'Fufistän-', 'Fullstän-', '31 sek.', '26 sek.', '8 sek.', 'Fullständigt*', '38 sek.', 'digtx)', 'digtx)', 'digtx)', 'x) Provet förtärdes fullständigt av plagor.']"
19,"['19', 'Exempel 67-76. I dessa exempel införlivas de burliknande bor-kväve-', 'föreningar som användas 1 föreliggande uppfinning 1 polyeten och', 'polypropen-hartser och de resulterande hartserna provas beträffande', 'sina antistatiska egenskaper. Provexemplaren framställes genom att', 'man blandar polymeren med den burliknande föreningen i en Waring-Blender-', '-anordning under 1 till 2 minuter, smälter den blandade hartsbland-', 'ningen 1 en Brabender Plasticorder-anordning vid 200°C och därefter', 'pressar den vid 177°C i tvâ minuter under ett tryck av 141 kp/cm².', 'Ungefär 3 viktprocent, räknat pá polymeren, av den burliknande före-', 'ningen införlivas i var och en av de provade polymererna.', 'De antistatiska egenskaperna för de erhâllna hartsfilmerna', 'bestämmas medelst askprovningen och med Rothschild Static-Tester-', '-anordningen. Resultaten redovisas i tabell III.', 'Tabell III.', 'Mängd an-', 'Rothschild', 'tistatmedel, Ask-', 'Tester, %', 'Antistat-', 'vikt-', 'upptag-', 'av laddning', 'Ex. nr. Harts medel', 'procent', 'ning', 'som finns', 'kvar efter', '15 min.', '67', 'polyeten Inget', 'Stor', '98', '68', '""', '3,7,10-trimetyl- -', '-2,8,9-trioxa-5- -', '-aza-l-boratri-', 'cyklo[3.3.3.0]-', '-undekan', '3', 'Ingen', '87,5', '69', '""', '3,7-difenoxi-', 'metyl-10-mety1-', '-2,8,9-trioxa-', '-5-aza-l-boratri-', 'cyklo[3.3.3.0}-', '-undekan', '3', 'Stor', '93', '70', '""', '3-feny1-7,10-', '-dimety1-2,8,9-', '-trioxa-5-aza-', '-1-boratricyk-', 'lo[3.3.3.0]-', '-undekan', '3', 'Stor', '90', '71', '""', '3-hydroximetyl-', '-7,10-dimetyl-2,', '8,9-trioxa-5-', '-aza-l-boratri-', 'cyklo[3.3.3.0]-', '-undekanstearat', '3', 'Inget', '61', '72', 'polypropen Inget', 'Stor', '94', '73', '""', '3,7,10-trimetyl-', '-2,8,9-trioxa-5-', '-aza-l-boratri-', 'cyklo[3.3.3.0]-', '-undekan', '3', 'Obetydlig 94,5']"
20,"['20', '74 polypropen 3, 7-difenoxi-metyl-', '10-metyl-2,8,9-trioxa-', '.', '-5-aza-l-boratricyklo-', 'Obetydlig- -', '[3.3.3.01-undekan', '3', 'moderat', '97,5', '75', '""', '3-fenyl-7,10-dimetyl-', '-2,8,9-trioxa-5-aza-', '-1-boratricyklo-', '[3.3.3.0]-undekar', '3', 'moderat', '95,5', '76', '""', '3-hydroximetyl-7,10-', '-dimetyl-2,8,9-trioxa-', '-5-aza-1-boratricyk-', '1lo[3.3.3.0]-undekan-', 'Mycket', 'stearat', '3', 'obetydlig', '78', 'Exempel 77-86.', 'I dessa exempel provas vinylklorid-sampolymerhartser', '(VYHH) som innehäller ungefär 87 viktprocent vinylklorid och 13 vikt-', 'procent vinylacetat, en vanlig komposition för grammofonskivor, be-', 'träffande sina antistatisMa egenskaper efter tillsats av en av de', 'burliknande bor-kväveföreningarna enligt uppfinningen. Vinylklorid-', '-vinylacetat-sampolymerfilmerna malas pá samma sätt som polyvinyl-', 'kloridfilmerna i exemplen 1-58 med undantag av att malningen genomföres', 'vid en temperatur av 130°C i stället för 163°C som användes vid poly-', 'vinylkloriden i dessa exempel. Filmerna pressas vid 35 kp/cm under', '2', 'tvã minuter, 105 kp/cm² under tvã minuter och 141 kp/cm² under tvá', 'minuter vid 132°C och kylas därefter och avlägsnas frän pressen.', 'olymerblandningarna 1 exemplen 77, 78, 79 och 84 innehâlla', 'alla 100 delar av sampolymeren, 5 delar kolsvartpigment, som saluföras', 'und er varubenämingen Carbolac-2, och 1,5 delar blystearat, som salu-', 'föres under varubenämingen DS-207. Proven 1 exemplen 80-83 och 85', 'innehâlla alla 100 delar av sampolymeren och 1,5 delar av en bly-', 'stearatstabilisator, som saluföres under varubenämingen Ferro 13V57.', 'Den mängd burliknande förening som finnes närvarande i varje exempel', 'anges i tabell IV. Det speciella antistatmedel som användes i var och', 'en av dessa exempel är 3,7,10-trimetyl-2,8,9-trioxa-5-aza-l-boratri-', 'cyklo[3.3.3.0]-undekan.', 'De erhâllna filmerna provades i askprovningen och med', 'Rothschild Static Tester-anordningen och resultaten av dessa provningar', 'redovisas i tabell IV. Dessa resultat visa att införlivning av ätminso-', 'ne ungefär 2 viktprocent, räknat pá polymeren, av den burliknande', 'bor-kväveföreningen i polymeren är fördelaktig.']"
21,"['21', 'Tabell IV.', 'Mängd antistatmedel,', 'Rothschild Static', 'Ex. nr.', 'viktprocent av polymeren Askprovning Tester-anordning,', 'minimiresultat av 4', 'provningar', '77', '1', '6 min. 55 sek.', '78', '2', '52 %', '79', '3', 'Moderat', '8 min., 17 sek,', '80', '0,5', 'Stor', '62 %', '81', '1,0', 'Stor', '8 min. 43 sek.', '82', '1,5', 'Moderat', '87 %', '83', '3,0', 'Stor', '3 min. 42 sek.', '84', 'Inget', '65 S', '85', 'Inget', 'Moderat', '91 %', '86', 'Kommersiell grammofonskiva Stor', '83%', 'Exempel 87-93. I dessa exempel anbringas ett av antistatmedlen enligt', 'föreliggande uppfinning, ,7,10-trimetyl-2,8,9-trioxa-5-aza-1-boratri-', 'cyklo[3.3.3.0]-undekan, pá polyesterfiber och den erhâllna fibern', 'provas för bestämning av dessa antistatiska egenskaper. Antistatmedlet', 'anbringas frân en 0,5 %-ig vattenlösning medelst ett ""kiss roll""-', '- -paföringsförfarande pá polyetentereftalat, som tidigare har extraherats', 'med 1,1,1-trikloretan för avlägsnande av tillverkarens appretur.', 'Antistatprowningen genomföres genom att den', 'behandlade fibern med en konstant hastighet av 91 m/min. drages över', 'valselektroderna i en Rothschild Static Volt Meter. Laddningsuppbygg-', 'naden per 6-sekunders intervall bestämmes. Resultaten av dessa', 'provningar och identiska försök gjorda med kommersiellt tillgängliga', 'antistatmedel redovisas i tabell V. Den burliknande bor-kväveföreningen', 'visarrsig klara denna provning utmärkt, varvid avsevärt bättre resultat', 'uppnãs än vid användning av ett antal av de kommersiella antistatmedlen.', 'Tabell V.', 'Spänningsuppbyggnad vid', 'Ex. nr.', 'Antistatmedel', 'sex-sekunders period', '87', 'Inget', '150-250', '88', 'Dimetylaminopropylamin-', 'C6-C9 blandad alifatisk mono-', 'karbonsyraamid -', 'dietylsulfat-kvaternärt salt', '0-100', '89', 'Kvaternärt dietylsulfatsalt', 'ay oleylamiden av N-aminopropy1-', 'morfolin', '150-200', '90', 'Kvaternärt oleylimidazolin-', 'dietylsulfatsalt (Atlas83634', '185-215', '91-', 'Dietanolaminpelargonat (Emery 3015)', '140-160', '92', 'ietylaminoetyloleylaminhydroklorid', '0-50']"
22,"['22', '93', '3,7,10-trimetyl-2,8,9-trioxa-', '-5-aza-l-boratricyklo[3.3.3.0]', '-undekari', '50-100', 'Exempel 94-105. Dessa exempel genomföras för bestämning av den', 'hydrolytiska beständigheten för de burliknande bor-kväveföreningarna', 'enligt uppfinningen.', 'I varje exempel inväges 1-2 g av ett noggrant vägt prov', 'av det vattenlösliga, burliknande bor-kvävederivatet i en 100 ml', 'mätkolv. Derivatet löses 1 destillerat vatten vid rumstemperatur', 'och lösningen fär stá vid rumstemperatur sá länge provet varar.', '10 ml prov uttages periodvis under en tid av 2.000 timmar och titperas', 'med 0,02-0,03 N-saltsyra till en bromfenolblá slutpunkt. Medelst denna', 'titrering bestämmes mängden fri amin, vilken är ekvivalent med den', 'mängd icke-burlikmande kväve som finnes närvarande och detta i sin tur', 'anger den hydrolytiska beständigheten för föreningarna.', 'Resultaten av dessa provningar redovisas 1 tabell VI.', 'Av tabellen framgär att obetydliga ändringar i strukturen för förening-', 'en har en drastisk effekt pá den hydrolytiska beständigheten. Använd-', 'ning av hydrolytiskt beständiga tillsatsmedel är särskilt fördelaktig', 'vid textila invändningstillfällen där tillsatsmedlen normalt anbringas', 'frän vattenlösning.']"
23,"['Ex.', 'Substitution eller', 'nr.', 'Förening', 'ringexpansion', 'Halveringstid', '94', '3-metyl-2,8,9-trioxa-5-aza-l-boratricyklo-', '3.3.3.0]-undekan', '3-CH3', '1 timma', '95', 'etyl-2,8,9-trioxa-5-aza-l-boratrie', 'cyklo[3.3.3.0]-undekan', '3-CH3, 7-CH3', 'Isomer A-30%-12 tim.', 'Isomer B-70%-53 dygn', '96', '3,7,10-trimetyl-2,8,9-trioxa-5-aza-1-', '-boratricyklo[3.3.3.0]-undekan', '3-CH3. 7-CH3, 10-CH3', '89 % - 301 dygn', '97', '3.7-dimetyl-10-etyl-2,8,9-trioxa-5-aza', '1-boratricyklo[3.3.3.0]-undekan', '3-CH3, 7-CH3, 10-CH2CH3', '484 dygn', '98', '7-dimetyl-ll-etyl-2,8,9-trioxa-5-aza-', '-1-boratricyklo[3.3.3.0]-undekar', '3-CH3, 7-CH3, 11-CH2CH3', '878 dygn', '99', '4,4,7,10-tetrametyl-2,8,9-trioxa-5-aza-', '23', '-boratricyklo[3.3.3.0)-undekan', '4-CH3, 4-CH3, 7-CH3, 10-CH3', '1023 dygn', '100', 'metyl-7,10-dietyl-2,8,9-trioxa-5-aza-', '1-boratricyklo[3.3.3.0]-undekan', '3-CH3, 7-CH2CH3, 10-CH2CH3', '1033 dygn', '101', '3,7-dihydroximetyl-10-metyl-2,8,9-', '-5-aza-l-boratricyklo[3.3.3.0}-undekan', '3-CH20H, 7-CH2OH, 10-CH3', 'Isomer A-7,36%-199dygn', 'Isomer B', '102', ',7,10-trihydroximetyl-2,8,9-trioxa-5-aza-', '-l-boratricyklo[3.3.3.0]-undekan', '3-CH20H, 7-CH2OH, 10-CH2OH', 'Isomer A-5,98%-88 yygn', 'Isomer B1-83,66%', '103', '3,1ladimetyl-2.9,10-trioxa-6-aza-1-boratri-', 'cyklo[4..4..3.0]-tridekan', '8-CH2, 11-CH3, en sexatomig', '00', 'ring', '104', '12-mety1-2,10, 11-trioxa-6-aza-l-boratricyklo- -', '4.4.3.0]-tridekan', 'a', '12-CH3, 2-sexatomiga ringar', '105', '2,10,11-trioxa-6-aza-l-boratricyklo[4.4.4.', '-tetradekan', '00', '3-sexatomigaringar', '1)', 'En blandning av ringformiga isomerer innehällande minst en sexatomig ring.']"
