,Unnamed: 0,ssyk_2012_kod,url,code,title,description,english
11,12,1212,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1212,1212,Ekonomi- och finanschefer nivå 2,"Verksamhetsnära chef underställd mellanchef, direkt underställd verkställande direktör eller motsvarande. Högsta chef i företag utan chefshierarki som utför specialiserade tjänster inom ekonomi. Planlägger och leder den dagliga verksamheten samt ansvarar för personal på ekonomifunktionen.","['Head of operations, seconded to an interim chief, directly seconded to an executive director or equivalent, the highest-ranking executive in a company without a chief executive who performs specialized economic services, plans and directs day-to-day operations, as well as being in charge of personnel in the economic function.']"
12,13,1221,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1221,1221,Personal- och HR-chefer nivå 1,"Funktionschef eller chef på mellanchefsnivå. Underställd verkställande direktör eller motsvarande. Planerar, leder och samordnar den övergripande interna personaladministrativa verksamheten i ett företag eller organisation i samråd med högsta chef, chefer för andra avdelningar samt underställda chefer.","['A functionary or manager at the interim level, an executive director or equivalent, who plans, directs and coordinates the overall internal human resources management activity of a company or organization in consultation with the chief executive, the managers of other departments and the subordinates.']"
13,14,1222,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1222,1222,Personal- och HR-chefer nivå 2,"Verksamhetsnära chef underställd mellanchef, direkt underställd verkställande direktör eller motsvarande. Högsta chef i företag utan chefshierarki som utför specialiserade tjänster inom personaladministration. Planlägger och leder den dagliga verksamheten samt ansvarar för personal på personalfunktionen.","['Head of management, directly appointed by an interim chief, directly appointed by an executive director or equivalent, the highest-ranking executive in a company without a Chief Executive Officer who performs specialized services in human resources management, who plans and directs the day-to-day operations and is accountable for the personnel in the human resources function.']"
14,15,1230,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1230,1230,Förvaltnings- och planeringschefer nivå 0,"Planerar, leder och samordnar den strategiska planeringen och policyarbetet för verksamheten på företag eller organisation, underställda en verkställande direktör eller motsvarande. Planlägger och leder den dagliga verksamheten samt ansvarar för personal.","['Plans, directs and coordinates the strategic planning and policy work of the activity of the company or organization, under the supervision of an executive director or equivalent, and plans and directs the day-to-day activity and is responsible for personnel.']"
15,16,1241,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1241,1241,"Informations-, kommunikations- och PR-chefer nivå 1","Funktionschef eller chef på mellanchefsnivå. Underställd verkställande direktör eller motsvarande. Planerar, leder och samordnar den övergripande informations-, kommunikations- eller PR-verksamheten i ett företag eller organisation, i samråd med högsta chef, chefer för andra avdelningar samt underställda chefer.","['A functionary or executive director at the interim level, a junior executive director or equivalent, who plans, directs and coordinates the overall information, communications and PR activities of a company or organization, in consultation with its chief executive, other departmental officers and other junior executives.']"
16,17,1242,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1242,1242,"Informations-, kommunikations- och PR-chefer nivå 2","Verksamhetsnära chef underställd mellanchef, direkt underställd verkställande direktör eller motsvarande. Högsta chef i företag utan chefs­hierarki som utför specialiserade tjänster inom informations-, kommunikations-, reklam eller PR-verksamhet. Planlägger och leder den dagliga verksamheten samt ansvarar för personal inom information, kommunikation, reklam och PR.","['Executive director, directly appointed by an interim manager, directly appointed by an executive director or equivalent, the highest-ranking executive in a company without a hierarchy of executives who performs specialized services in the information, communication, advertising or PR sector, who plans and directs day-to-day operations, and who is responsible for personnel in the information, communication, advertising and PR sector.']"
17,18,1251,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1251,1251,Försäljnings- och marknadschefer nivå 1,"Funktionschef eller chef på mellanchefsnivå. Underställd verkställande direktör eller motsvarande. Planerar, leder, utvecklar och samordnar den övergripande försäljnings- eller marknadsverk­samheten i företag eller organisation, i samråd med högsta chef, chefer för andra avdelningar och underställda chefer.","['A functionary or manager at the level of an interim manager, an executive director or equivalent, who plans, directs, develops and coordinates the overall marketing or sales of a company or organization, in consultation with senior managers, managers of other departments and subordinate managers.']"
18,19,1252,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1252,1252,Försäljnings- och marknadschefer nivå 2,"Verksamhetsnära chef underställd mellanchef, direkt underställd verkställande direktör eller motsvarande. Högsta chef i företag utan chefshierarki som utför specialiserade tjänster inom försäljning och marknad. Planlägger och leder den dagliga försäljnings- och marknadsverksamheten samt ansvarar för personal.","['Executive director, directly appointed by an interim manager, directly appointed by an executive director or equivalent, the highest-ranking executive in a non-executive company that performs specialized sales and market services, designs and directs the day-to-day sales and market activities, and is accountable to the staff.']"
19,20,1291,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1291,1291,Övriga administrations- och servicechefer nivå 1,"Funktionschef eller chef på mellanchefsnivå. Underställd verkställande direktör eller motsvarande. Planerar, leder, utvecklar och samordnar den övergripande administrativ- och serviceverksamhet i företag eller organisation, i samråd med högsta chef, chefer för andra avdelningar och underställda chefer.","['A functionary or executive director at the interim level, an executive director or equivalent, who plans, directs, develops and coordinates the overall administration and service of a company or organization, in consultation with its chief executive, other departmental officers and subordinate officers.']"
20,21,1292,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1292,1292,Övriga administrations- och servicechefer nivå 2,"Verksamhetsnära chef underställd mellanchef, direkt underställd verkställande direktör eller motsvarande. Högsta chef i företag utan chefshierarki som utför specialiserade tjänster inom annan administrations- och serviceverksamhet. Planlägger och leder den dagliga verksamheten samt ansvarar för personal på intern administrativ- och servicefunktion.","['Head of management, directly appointed as an interim manager, directly appointed as an executive director or equivalent, the highest-ranking executive in a non-executive company that performs specialized services in another administrative and service function, plans and directs daily activities, and is responsible for personnel in internal administrative and service function.']"
21,22,1311,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1311,1311,IT-chefer nivå 1,"Funktionschef eller chef på mellanchefsnivå. Underställd verkställande direktör eller motsvarande. Planerar, leder och samordnar den övergripande interna IT-verksamheten i ett företag eller organisation, i samråd med högsta chef, chefer för andra avdelningar samt underställda chefer.","['Head of an executive or a middle manager, acting as an executive director or equivalent, planning, directing and coordinating the overall internal IT business of a company or organization, in consultation with its chief executive, other departmental officers and acting executives.']"
22,23,1312,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1312,1312,IT-chefer nivå 2,"Verksamhetsnära chef underställd mellanchef, direkt underställd verkställande direktör eller motsvarande. Högsta chef i företag utan chefshierarki som utför specialiserade tjänster inom IT. Planlägger och leder den dagliga IT-verksam­heten samt ansvarar för personal på en IT-enhet.","['Head of management, directly appointed by an interim chief, directly appointed by an executive director or equivalent, the highest-ranking executive in a non-executive company that delivers specialized IT services, designs and directs day-to-day IT operations, and is accountable for the staffing of an IT unit.']"
23,24,1321,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1321,1321,"Inköps-, logistik- och transportchefer nivå 1","Funktionschef eller chef på mellanchefsnivå. Underställd verkställande direktör eller motsvarande. Planerar, leder och samordnar den övergripande interna inköps-, logistik- och transportverksam­heten i ett företag eller organisation, i samråd med högsta chef, chefer för andra avdelningar samt underställda chefer.","['A functionary or manager at the interim level, a junior executive director or equivalent, who plans, directs and coordinates the overall internal procurement, logistics and transportation of a company or organization, in coordination with the chief executive, the heads of other departments and the junior managers.']"
24,25,1322,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1322,1322,"Inköps-, logistik- och transportchefer nivå 2","Verksamhetsnära chef underställd mellanchef, direkt underställd verkställande direktör eller motsvarande. Högsta chef i företag utan chefshierarki som utför specialiserade tjänster inom inköps-, logistik- och transportverksamheten. Planlägger och leder den dagliga verksamheten samt ansvarar för personal på en inköps-, logistik eller transportenhet.","['Head of management, directly appointed as an interim manager, directly appointed as an executive director or equivalent, the highest-ranking executive in a non-executive company that performs specialized services in the purchasing, logistics and transportation sectors, plans and directs the day-to-day operations and is responsible for personnel in a purchasing, logistics or transportation unit.']"
25,26,1331,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1331,1331,Forsknings- och utvecklingschefer nivå 1,"Funktionschef eller chef på mellanchefsnivå. Underställd verkställande direktör eller motsvarande. Planerar, leder och samordnar den övergripande forsknings- och utvecklingsverksamheten i ett företag eller organisation, i samråd med högsta chef, chefer för andra avdelningar samt under­ställda chefer.","['Executive director, interim director, acting director or equivalent, who plans, directs and coordinates the overall R&amp;D of a company or organization, in consultation with senior management, senior management of other departments, and acting directors.']"
26,27,1332,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1332,1332,Forsknings- och utvecklingschefer nivå 2,"Verksamhetsnära chef underställd mellanchef, direkt underställd verkställande direktör eller motsvarande. Högsta chef i företag utan chefshierarki som utför specialiserade tjänster inom forsknings- och utvecklingsverksamhet. Planlägger och leder den dagliga verksamheten samt ansvarar för personal på en forsknings- och utvecklingsenhet.","['Head of operations, directly appointed to the interim chief, directly appointed to the executive director or equivalent, the highest-ranking executive in a company without a Chief Executive Officer who performs specialized R&amp;D services, plans and directs the day-to-day operations and is responsible for managing the staff of a R&amp;D unit.']"
27,28,1341,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1341,1341,Chefer inom arkitekt- och ingenjörsverksamhet nivå 1,"Funktionschef eller chef på mellanchefsnivå. Underställd verkställande direktör eller motsvarande. Planerar, leder och samordnar övergripande arkitekt- och/eller ingenjörsverksamhet i företag eller organisation som utför specialiserade tjänster inom teknisk tjänsteproduktion, såsom uppdrag inom arkitektur, fysisk planering, projektering av byggnader, infrastruktur m.m. i samråd med högsta chef, chefer för andra avdelningar samt underställda chefer.","['Executive director, interim director, acting executive director or equivalent. Plans, directs and coordinates the overall architectural and/or engineering activities of a company or organization that performs specialized services in the production of technical services, such as architecture missions, physical planning, building design, infrastructure, etc., in coordination with its chief executive, other department heads and acting executives.']"
28,29,1342,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1342,1342,Chefer inom arkitekt- och ingenjörsverksamhet nivå 2,"Verksamhetsnära chef underställd mellanchef, direkt underställd verkställande direktör eller motsvarande. Högsta chef i företag utan chefshierarki som utför specialiserade tjänster inom teknisk tjänsteproduktion. Planlägger och leder den dagliga arkitekt- eller ingenjörsverksamheten samt ansvarar för personal.","['Executive director, directly appointed by an interim director, directly appointed by an executive director or equivalent, the highest-ranking executive in a non-executive company that performs a specific service in the production of technical services, designs and directs the day-to-day architecture or engineering industry, and is accountable to the staff.']"
29,30,1351,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1351,1351,Fastighets- och förvaltningschefer nivå 1,"Funktionschef eller chef på mellanchefsnivå. Underställd verkställande direktör eller motsvarande. Planerar, leder och samordnar övergripande förvaltningen och skötsel av fastigheter i företag eller organisation i samråd med högsta chef, chefer för andra avdelningar samt underställda chefer.","['Executive director, interim director, acting director or equivalent, who plans, directs and coordinates the overall management and real estate management of a company or organization in consultation with its chief executive, other department heads and acting directors.']"
30,31,1352,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1352,1352,Fastighets- och förvaltningschefer nivå 2,"Verksamhetsnära chef underställd mellanchef, direkt underställd verkställande direktör eller motsvarande. Högsta chef i företag utan chefshierarki som förmedlar tjänster inom förvalt­ningen och skötsel av fastigheter till andra företag och organisationer. Planlägger och leder den dagliga verksamheten inom förvaltning och skötsel av fastigheter samt ansvarar för personal.","['Executive director, directly appointed interim director, directly appointed executive director or equivalent, the highest level executive in a non-executive company that delivers asset management services to other companies and organizations, plans and directs day-to-day asset management and personnel activities.']"
31,32,1361,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1361,1361,"Driftchefer inom bygg, anläggning och gruva nivå 1","Chef på mellanchefsnivå. Underställd verkställande direktör eller motsvarande. Planerar, leder och samordnar den övergripande verksamheten inom bygg, anläggning och gruva, i samråd med högsta chef, chefer för andra avdelningar och underställda chefer.","['Chief executive at the interim level, acting director or equivalent, planning, directing and coordinating the overall construction, plant and mining activity, in coordination with the chief executive, managers of other departments and acting directors.']"
32,33,1362,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1362,1362,"Driftchefer inom bygg, anläggning och gruva nivå 2","Verksamhetsnära chef underställd mellanchef, direkt underställd verkställande direktör eller motsvarande. Högsta chef i företag utan chefshierarki inom byggnads-, anläggnings-, eller gruvverksamhet. Planlägger och leder den dagliga verksamheten samt ansvarar för personal på en byggarbetsplats, anläggning eller gruva.","['Head of management, directly appointed by an interim chief, directly appointed by an executive director or equivalent, the highest-ranking executive in a company without a chief executive in a building, plant or mining activity, who plans and directs day-to-day operations and is responsible for personnel in a construction site, plant or mine.']"
33,34,1371,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1371,1371,Produktionschefer inom tillverkning nivå 1,"Chef på mellanchefsnivå. Underställd verk­ställande direktör eller motsvarande. Planerar, leder och samordnar den övergripande interna tillverkningsverksamheten i ett företag eller organisation, i samråd med högsta chef, chefer för andra avdelningar samt underställda chefer.","['Chief executive at the interim level. Appointed executive director or equivalent. Plans, directs and coordinates the overall internal manufacturing industry of a company or organization, in consultation with its chief executive, other departmental executives and acting executives.']"
34,35,1372,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1372,1372,Produktionschefer inom tillverkning nivå 2,"Verksamhetsnära chef underställd mellanchef, direkt underställd verkställande direktör eller motsvarande. Högsta chef i företag utan chefshierarki inom tillverkning. Planlägger och leder den dagliga verksamheten samt ansvarar för personal på en tillverkningsenhet.","['Head of manufacturing, directly appointed by an interim chief, directly appointed by an executive director or equivalent, the highest-ranking executive in a company without a chief manufacturing officer, designs and directs day-to-day operations and is responsible for managing the personnel in a manufacturing unit.']"
35,36,1380,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1380,1380,Förvaltare inom skogsbruk och lantbruk m.fl.,"Planerar, leder och samordnar verksamheten inom skogsbruk eller på större lantbruk. Planlägger och leder den dagliga verksamheten samt ansvarar för personal.","['Plans, directs and coordinates the activities of forestry or large-scale farming, plans and directs the daily activities and is responsible for personnel.']"
36,37,1411,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1411,1411,Avdelningschefer inom grund- och gymnasieskola samt vuxenutbildning nivå 1,"Chef på förvaltning eller mellanchefsnivå. Under­ställd kommunchef, förvaltningschef, verkställande direktör eller motsvarande. Planerar, leder och samordnar den övergripande pedagogiska verksamheten inom grund- eller gymnasieskola och vuxenutbildning, i samråd med högsta chefer och chefer för andra avdelningar eller enheter, samt underställda chefer.","['Head of management or middle management. Deputy community manager, chief of management, executive director or equivalent. Plans, directs and coordinates the overall pedagogical activity in primary and high school and adult education, in coordination with the heads of high school and the heads of other departments or units, as well as deputy heads.']"
37,38,1412,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1412,1412,Rektorer nivå 2,"Verksamhetsnära chef underställd mellanchef, chef för förvaltning eller verkställande direktör. Högsta chef i företag utan chefshierarki inom grund- eller gymnasieskola. Planlägger och leder den dagliga verksamheten samt ansvarar för personal inom grund- eller gymnasieskola och vuxenutbildning. Övervakar elevernas utveckling och rådgör med föräldrar eller vårdnadshavare.","['A senior management officer who is an interim manager, a supervisor or an executive director, who is the highest-ranking executive in a non-executive elementary or high school organization, who plans and directs day-to-day operations, who is responsible for elementary or high school and adult education staff, who monitors student development, and who advises parents or caregivers.']"
38,39,1421,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1421,1421,Avdelningschefer inom förskola nivå 1,"Chef på förvaltning eller mellanchefsnivå. Under­ställd kommunchef, förvaltningschef, verkställande direktör eller motsvarande. Planerar, leder och samordnar den övergripande pedagogiska verksamheten inom förskola och annan verksamhet som bedriver barnomsorg, i samråd med högsta chef, chefer för andra avdelningar samt underställda chefer.","['Head of management or middle management. Deputy community manager, head of management, executive director or equivalent. Plans, directs and coordinates the overall educational activity in schools and other childcare activities, in coordination with the head of the school, the heads of other departments and the deputy heads.']"
39,40,1422,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1422,1422,Förskolechefer nivå 2,"Verksamhetsnära chef underställd förvaltningschef, mellanchef, verkställande direktör eller motsvarande. Högsta chef i företag utan chefshierarki inom förskola. Planlägger och leder den dagliga verksamheten samt ansvarar för personal på en förskola eller annan verksamhet som bedriver barnomsorg. Övervakar barnens utveckling och rådgör med föräldrar eller vårdnadshavare.","[""The principal supervisor is a deputy head of management, an interim head, an executive director or something like that, the highest-ranking executive in a company without a supervisory board within the school, who plans and directs the day-to-day operations, as well as being in charge of the personnel in a school or other activity that manages childcare, monitors children's development, and advises parents or caregivers.""]"
40,41,1491,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1491,1491,Övriga avdelningschefer inom utbildning nivå 1,"Chef på förvaltning eller mellanchefsnivå. Underställd verkställande direktör eller motsvarande. Planerar, leder och samordnar den övergripande pedagogiska verksamheten inom annan utbildningsform än läroplanstyrd verksamhet, i samråd med högre chefer och chefer för andra avdelningar eller enheter, samt underställda chefer.","['Head of management or middle management, acting director or equivalent, planning, directing and coordinating the overall educational activity in a form of education other than teacher-led activity, in coordination with senior managers and managers of other departments or units, as well as deputy managers.']"
41,42,1492,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1492,1492,Övriga verksamhetschefer inom utbildning nivå 2,"Verksamhetsnära chef underställd mellanchef, chef för förvaltning eller verkställande direktör. Högsta chef i företag utan chefshierarki inom annan utbildningsform än läroplanstyrd verksamhet. Planlägger och leder den dagliga verksamheten samt ansvarar för personal. Övervakar elevernas eller studenternas utveckling.","['A principal operating officer who is an interim manager, a supervisor or an executive director, who is the highest-ranking executive in a company that has no executive direction for an educational activity other than teaching and learning, who plans and directs day-to-day operations, and who is accountable to staff, and who oversees the development of students or students.']"
42,43,1511,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1511,1511,Klinik- och verksamhetschefer inom hälsa och sjukvård nivå 1,"Chef på förvaltning eller mellanchefsnivå. Underställd landstingsdirektör, förvaltningschef, verkställande direktör eller motsvarande. Planerar, leder och samordnar den övergripande verksamheten inom hälso- och sjukvård, i samråd med högre chefer och chefer för andra avdelningar eller enheter, samt underställda chefer.","['Head of supervision or inter-supervisory level, sub-director of health care, head of supervision, executive director or equivalent, planning, directing and coordinating the overall health care activity, in coordination with senior managers and managers of other departments or units, as well as sub-directors.']"
43,44,1512,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1512,1512,Avdelnings- och enhetschefer inom hälsa och sjukvård nivå 2,"Verksamhetsnära chef underställd mellanchef, chef för förvaltning, landstingsdirektör eller verkställande direktör. Högsta chef i företag utan chefshierarki inom hälso- och sjukvård. Planlägger och leder den dagliga verksamheten samt ansvarar för personal.","['A supervisory board member who is an interim manager, a supervisory board member, an administrative director, an executive director, the highest-ranking executive in a company without a supervisory board in health care, who plans and directs day-to-day operations and is accountable to the staff.']"
44,45,1521,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1521,1521,Avdelningschefer inom socialt och kurativt arbete nivå 1,"Chef på förvaltning eller mellanchefsnivå. Under­ställd kommunchef, förvaltningschef, verkställ­ande direktör eller motsvarande. Planerar, leder och samordnar den övergripande verksamheten inom socialt och kurativt arbete, i samråd med högre chefer och chefer för andra avdelningar eller enheter, samt underställda chefer.","['Supervisory or inter-supervisory: Deputy community manager, executive director, executive director or equivalent. Plans, directs and coordinates the overall activity of social and curative work, in conjunction with senior managers and managers of other departments or units, as well as subordinate managers.']"
45,46,1522,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1522,1522,Enhetschefer inom socialt och kurativt arbete nivå 2,"Verksamhetsnära chef underställd mellanchef, chef för förvaltning, landstingsdirektör eller verkställande direktör. Högsta chef i företag utan chefshierarki inom socialt och kurativt arbete. Planlägger och leder den dagliga verksamheten samt ansvarar för personal.","['A senior management officer who is an interim manager, a supervisor, an administrative director, an executive director — the highest level manager in a company without a managerial hierarchy in terms of social and curative work — who plans and directs day-to-day operations and is accountable to the staff.']"
46,47,1531,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1531,1531,Avdelningschefer inom äldreomsorg nivå 1,"Chef på förvaltning eller mellanchefsnivå. Underställd kommunchef, förvaltningschef, verkställ­ande direktör eller motsvarande. Planerar, leder och samordnar den övergripande verksamheten inom äldreomsorg, i samråd med högre chefer och chefer för andra avdelningar eller enheter, samt underställda chefer.","['Supervisory or inter-supervisory: supervised community manager, executive director, executive director or equivalent, planning, directing and coordinating the overall operations of the care of the elderly, in coordination with senior managers and managers of other departments or units, as well as supervised managers.']"
47,48,1532,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1532,1532,Enhetschefer inom äldreomsorg nivå 2,"Verksamhetsnära chef underställd mellanchef, chef för förvaltning, landstingsdirektör eller verkställande direktör. Högsta chef i företag utan chefshierarki inom äldreomsorg. Planlägger och leder den dagliga verksamheten samt ansvarar för personal.","['A senior management officer who is an interim manager, a supervisor, an administrative director, an executive director, the highest-ranking manager in a company without a senior management board, who plans and directs day-to-day operations and is accountable to the staff.']"
48,49,1540,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1540,1540,Chefer och ledare inom trossamfund nivå 0,"Planerar, leder och samordnar verksamhet inom församlingsarbetet i Svenska kyrkan eller annat trossamfund. Planlägger och leder den dagliga verksamheten samt ansvarar för personal.","['Plans, directs and coordinates activities related to congregational work in the Church of Sweden or other faith communities, and plans and directs day-to-day activities and responsibilities for staff.']"
49,50,1591,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1591,1591,Övriga chefer inom samhällsservice nivå 1,"Chef på förvaltning eller mellanchefsnivå. Underställd landstingsdirektör, förvaltningschef, verkställande direktör eller motsvarande. Planerar, leder och samordnar den övergripande verksamheten inom övrig samhällsservice, i samråd med högre chefer och chefer för andra avdelningar eller enheter, samt underställda chefer.","['Head of supervision or inter-supervisory level, acting regional director, chief of supervision, executive director or equivalent, planning, directing and coordinating the overall activity of the higher community service, in coordination with senior managers and managers of other departments or units, as well as acting executives.']"
50,51,1592,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1592,1592,Övriga verksamhetschefer inom samhällsservice nivå 2,"Verksamhetsnära chef underställd mellanchef förvaltningschef, landstingsdirektör eller verkställande direktör. Högsta chef i företag utan chefshierarki inom övrig samhällsservice. Planlägger och leder den dagliga verksamheten samt ansvarar för personal.","['The head of state is an interim supervisor, an executive director, an executive director, the highest-ranking executive in a company without a chief executive in the upper social service, and he or she plans and directs day-to-day operations and is accountable to the staff.']"
51,52,1611,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1611,1611,"Chefer inom bank, finans och försäkring nivå 1","Chef på mellanchefsnivå. Underställd verkställande direktör eller motsvarande. Planerar, leder och samordnar den övergripande verksamheten inom bankkontor, finansiella institut och försäkringsbolag, i samråd med högre chefer och chefer för andra avdelningar eller enheter, samt underställda chefer.","['Chief executive at the interim level. Acting director or equivalent. Plans, directs and coordinates the overall operations of bank branches, financial institutions and insurance companies, in conjunction with senior managers and managers of other departments or units, as well as executives.']"
